Color,PPI,Backgrounds,Temperature(Kelvin),Mirror,Flip,Outcome
Orange,244.6,Black,1000,TRUE,TRUE,success
Orange,244.6,Black,1000,TRUE,FALSE,failure
Orange,244.6,Black,1000,FALSE,TRUE,failure
Orange,244.6,Black,1000,FALSE,FALSE,success
Orange,244.6,Black,3000,TRUE,TRUE,success
Orange,244.6,Black,3000,TRUE,FALSE,failure
Orange,244.6,Black,3000,FALSE,TRUE,failure
Orange,244.6,Black,3000,FALSE,FALSE,success
Orange,244.6,Black,5500,TRUE,TRUE,success
Orange,244.6,Black,5500,TRUE,FALSE,failure
Orange,244.6,Black,5500,FALSE,TRUE,failure
Orange,244.6,Black,5500,FALSE,FALSE,success
Orange,244.6,Black,6500,TRUE,TRUE,success
Orange,244.6,Black,6500,TRUE,FALSE,failure
Orange,244.6,Black,6500,FALSE,TRUE,failure
Orange,244.6,Black,6500,FALSE,FALSE,success
Orange,244.6,Black,9000,TRUE,TRUE,success
Orange,244.6,Black,9000,TRUE,FALSE,success
Orange,244.6,Black,9000,FALSE,TRUE,success
Orange,244.6,Black,9000,FALSE,FALSE,success
Orange,244.6,Surrounding,1000,TRUE,TRUE,failure
Orange,244.6,Surrounding,1000,TRUE,FALSE,failure
Orange,244.6,Surrounding,1000,FALSE,TRUE,failure
Orange,244.6,Surrounding,1000,FALSE,FALSE,failure
Orange,244.6,Surrounding,3000,TRUE,TRUE,failure
Orange,244.6,Surrounding,3000,TRUE,FALSE,failure
Orange,244.6,Surrounding,3000,FALSE,TRUE,failure
Orange,244.6,Surrounding,3000,FALSE,FALSE,failure
Orange,244.6,Surrounding,5500,TRUE,TRUE,failure
Orange,244.6,Surrounding,5500,TRUE,FALSE,failure
Orange,244.6,Surrounding,5500,FALSE,TRUE,failure
Orange,244.6,Surrounding,5500,FALSE,FALSE,failure
Orange,244.6,Surrounding,6500,TRUE,TRUE,failure
Orange,244.6,Surrounding,6500,TRUE,FALSE,failure
Orange,244.6,Surrounding,6500,FALSE,TRUE,failure
Orange,244.6,Surrounding,6500,FALSE,FALSE,failure
Orange,244.6,Surrounding,9000,TRUE,TRUE,failure
Orange,244.6,Surrounding,9000,TRUE,FALSE,success
Orange,244.6,Surrounding,9000,FALSE,TRUE,success
Orange,244.6,Surrounding,9000,FALSE,FALSE,failure
Orange,244.6,White,1000,TRUE,TRUE,failure
Orange,244.6,White,1000,TRUE,FALSE,failure
Orange,244.6,White,1000,FALSE,TRUE,failure
Orange,244.6,White,1000,FALSE,FALSE,failure
Orange,244.6,White,3000,TRUE,TRUE,failure
Orange,244.6,White,3000,TRUE,FALSE,failure
Orange,244.6,White,3000,FALSE,TRUE,failure
Orange,244.6,White,3000,FALSE,FALSE,failure
Orange,244.6,White,5500,TRUE,TRUE,failure
